"ID.Source";"ID.Target";"Weight";"City";"bCO";"c.rise";"c1.size";"c2.size";"cut.offRel";"weightedCutOff"
"B0001";"B0002";1;"Berlin";0,000116375635508563;1;634;1;0,00315457413249211;3,67115569427645e-07
"B0002";"B0003";1;"Berlin";0,000348758629198131;1;634;2;0,00630914826498423;2,20036990030367e-06
"B0003";"B0004";1;"Berlin";0,000580405068232582;1;634;3;0,00946372239747634;5,49279244384147e-06
"B0004";"B0005";2;"Berlin";0,00107919096602855;1;634;4;0,0126182965299685;1,36175516218114e-05
"B0005";"B0006";1;"Berlin";0,00156711268266153;0;634;0;0;0
"B0005";"B0115";1;"Berlin";0,000912010157907089;0;634;0;0;0
"B0006";"B0008";1;"Berlin";0,00308136918285823;0;634;0;0;0
"B0008";"B0037";1;"Berlin";0,00353287654600033;0;634;0;0;0
"B0008";"B0038";2;"Berlin";0,00328654183340995;0;634;0;0;0
"B0009";"B0010";1;"Berlin";0,000296313161059629;0;634;0;0;0
"B0010";"B0011";1;"Berlin";0,000333660866327985;0;634;0;0;0
"B0011";"B0012";1;"Berlin";0,000417952970225333;0;634;0;0;0
"B0012";"B0013";1;"Berlin";0,000553354513956206;0;634;0;0;0
"B0013";"B0014";1;"Berlin";0,000833317330806601;0;634;0;0;0
"B0014";"B0015";1;"Berlin";0,00110793398845193;0;634;0;0;0
"B0014";"B0069";1;"Berlin";0,000550735360676639;0;634;0;0;0
"B0015";"B0016";1;"Berlin";0,00129471811103427;0;634;0;0;0
"B0016";"B0017";1;"Berlin";0,0040747828746827;0;634;0;0;0
"B0017";"B0018";2;"Berlin";0,00881438191803461;0;634;0;0;0
"B0017";"B0042";1;"Berlin";0,00579443180120183;0;634;0;0;0
"B0018";"B0019";3;"Berlin";0,0103715067022761;0;634;0;0;0
"B0019";"B0020";3;"Berlin";0,0097330404910567;0;634;0;0;0
"B0020";"B0021";4;"Berlin";0,0106965310800928;0;634;0;0;0
"B0021";"B0022";1;"Berlin";0,00978479533917793;0;634;0;0;0
"B0021";"B0043";3;"Berlin";0,00763311051855463;0;634;0;0;0
"B0022";"B0023";1;"Berlin";0,0123374076307322;0;634;0;0;0
"B0023";"B0024";1;"Berlin";0,0215662374950518;0;634;0;0;0
"B0023";"B0211";1;"Berlin";0,012967204474477;0;634;0;0;0
"B0024";"B0025";1;"Berlin";0,0228189215959279;0;634;0;0;0
"B0024";"B0211";4;"Berlin";0,0176435428931203;0;634;0;0;0
"B0025";"B0026";1;"Berlin";0,0182050743437004;0;634;0;0;0
"B0025";"B0249";1;"Berlin";0,0100779518084778;0;634;0;0;0
"B0025";"B0419";2;"Berlin";0,0102108486345987;0;634;0;0;0
"B0026";"B0027";1;"Berlin";0,0184223537554191;0;634;0;0;0
"B0027";"B0028";1;"Berlin";0,0197320544496593;0;634;0;0;0
"B0027";"B0423";1;"Berlin";0,010239038709606;0;634;0;0;0
"B0027";"B0589";2;"Berlin";0,0111757330938181;0;634;0;0;0
"B0028";"B0029";1;"Berlin";0,0190175639993131;0;634;0;0;0
"B0028";"B0397";1;"Berlin";0,0111133846456844;0;634;0;0;0
"B0029";"B0030";1;"Berlin";0,0190884692613089;0;634;0;0;0
"B0029";"B0394";1;"Berlin";0,0100338254242105;0;634;0;0;0
"B0030";"B0031";1;"Berlin";0,0160399431463711;0;634;0;0;0
"B0030";"B0059";2;"Berlin";0,0151013019682706;0;634;0;0;0
"B0030";"B0246";1;"Berlin";0,0119147883933536;0;634;0;0;0
"B0030";"B0319";1;"Berlin";0,010485658610368;0;634;0;0;0
"B0031";"B0032";1;"Berlin";0,0110178239165984;0;634;0;0;0
"B0031";"B0242";1;"Berlin";0,00643547284855457;0;634;0;0;0
"B0031";"B0356";4;"Berlin";0,0069875116287085;0;634;0;0;0
"B0032";"B0033";1;"Berlin";0,00844915777765226;0;634;0;0;0
"B0032";"B0238";1;"Berlin";0,00504023967798964;0;634;0;0;0
"B0033";"B0034";1;"Berlin";0,00628117621220543;0;634;0;0;0
"B0033";"B0235";1;"Berlin";0,00427743486680666;0;634;0;0;0
"B0034";"B0035";1;"Berlin";0,00555003698341675;0;634;0;0;0
"B0035";"B0036";1;"Berlin";0,00417567685431277;0;634;0;0;0
"B0035";"B0223";1;"Berlin";0,00341807798249716;0;634;0;0;0
"B0036";"B0037";2;"Berlin";0,00261103689085056;0;634;0;0;0
"B0038";"B0039";2;"Berlin";0,00209978436709133;0;634;0;0;0
"B0039";"B0040";2;"Berlin";0,00327848633424364;0;634;0;0;0
"B0040";"B0041";2;"Berlin";0,00460333727188914;0;634;0;0;0
"B0041";"B0042";2;"Berlin";0,00480622879083865;0;634;0;0;0
"B0043";"B0044";3;"Berlin";0,00783084185085589;0;634;0;0;0
"B0044";"B0045";3;"Berlin";0,0124399370501385;0;634;0;0;0
"B0044";"B0058";3;"Berlin";0,0105118531399722;0;634;0;0;0
"B0045";"B0046";2;"Berlin";0,00916076884875048;0;634;0;0;0
"B0045";"B0056";1;"Berlin";0,00848435336308423;0;634;0;0;0
"B0045";"B0465";1;"Berlin";0,00692806387545453;1;634;6;0,0189274447949527;0,000131130546538572
"B0046";"B0047";2;"Berlin";0,00568052608240872;0;634;0;0;0
"B0047";"B0048";3;"Berlin";0,00483347332256035;0;634;0;0;0
"B0047";"B0053";1;"Berlin";0,00310200869853511;1;634;3;0,00946372239747634;2,93565491974932e-05
"B0047";"B0525";2;"Berlin";0,00310200869853511;1;634;3;0,00946372239747634;2,93565491974932e-05
"B0048";"B0049";2;"Berlin";0,00231186969225782;1;634;4;0,0126182965299685;2,91718573155561e-05
"B0048";"B0535";1;"Berlin";0,00299797035349976;1;634;10;0,0315457413249211;9,45731972712858e-05
"B0049";"B0050";2;"Berlin";0,000580405068232582;1;634;3;0,00946372239747634;5,49279244384147e-06
"B0050";"B0051";1;"Berlin";0,000348758629198131;1;634;2;0,00630914826498423;2,20036990030367e-06
"B0051";"B0052";1;"Berlin";0,000116375635508563;1;634;1;0,00315457413249211;3,67115569427645e-07
"B0053";"B0054";1;"Berlin";0,000348758629198131;1;634;2;0,00630914826498423;2,20036990030367e-06
"B0054";"B0055";1;"Berlin";0,000116375635508563;1;634;1;0,00315457413249211;3,67115569427645e-07
"B0056";"B0057";1;"Berlin";0,00434408345215259;0;634;0;0;0
"B0057";"B0522";2;"Berlin";0,00241090859285785;0;634;0;0;0
"B0058";"B0023";3;"Berlin";0,0128667340992253;0;634;0;0;0
"B0059";"B0031";4;"Berlin";0,0113651517929297;0;634;0;0;0
"B0059";"B0060";2;"Berlin";0,0103604342723957;0;634;0;0;0
