"ID.Source";"ID.Target";"Weight";"City";"bCO";"c.rise";"c1.size";"c2.size";"cut.offRel"
"EF0001";"EF0002";1;"Erfurt";0,00100094088443137;1;102;1;0,0196078431372549
"EF0002";"EF0003";1;"Erfurt";0,00298280383560547;1;102;2;0,0392156862745098
"EF0003";"EF0004";1;"Erfurt";0,00492462915140232;1;102;3;0,0588235294117647
"EF0004";"EF0005";1;"Erfurt";0,00682641683182191;1;102;4;0,0784313725490196
"EF0005";"EF0006";1;"Erfurt";0,00868816687686425;1;102;5;0,0980392156862745
"EF0006";"EF0007";1;"Erfurt";0,0105098792865293;1;102;6;0,117647058823529
"EF0007";"EF0008";1;"Erfurt";0,0122915540608172;1;102;7;0,137254901960784
"EF0008";"EF0009";1;"Erfurt";0,0140331911997277;1;102;8;0,156862745098039
"EF0009";"EF0010";1;"Erfurt";0,0157347907032611;1;102;9;0,176470588235294
"EF0010";"EF0011";1;"Erfurt";0,0208796268492383;1;102;10;0,196078431372549
"EF0011";"EF0017";2;"Erfurt";0,0255740395972214;1;102;15;0,294117647058824
"EF0013";"EF0014";1;"Erfurt";0,00100094088443137;1;102;1;0,0196078431372549
"EF0014";"EF0015";1;"Erfurt";0,00298280383560547;1;102;2;0,0392156862745098
"EF0015";"EF0016";1;"Erfurt";0,00492462915140232;1;102;3;0,0588235294117647
"EF0016";"EF0011";1;"Erfurt";0,0155346025263748;1;102;4;0,0784313725490196
"EF0017";"EF0018";1;"Erfurt";0,0256641242768202;0;102;0;0
"EF0017";"EF0021";1;"Erfurt";0,0138229936139972;0;102;0;0
"EF0018";"EF0019";1;"Erfurt";0,0259844253598382;0;102;0;0
"EF0019";"EF0020";1;"Erfurt";0,0272356014653775;0;102;0;0
"EF0021";"EF0022";1;"Erfurt";0,00233219226072508;0;102;0;0
"EF0022";"EF0023";1;"Erfurt";0,00245230516685685;0;102;0;0
"EF0023";"EF0024";1;"Erfurt";0,00253238043761135;0;102;0;0
"EF0024";"EF0025";1;"Erfurt";0,0350696321208603;0;102;0;0
"EF0025";"EF0020";1;"Erfurt";0,0474312520435876;0;102;0;0
