"ID.Source";"ID.Target";"Weight";"City";"bCO";"c.rise";"c1.size";"c2.size";"cut.offRel";"weightedCutOff"
"P0001";"P0002";1;"Potsdam";0,00196734212079481;1;62;1;0,032258064516129;6,3462649057897e-05
"P0002";"P0003";1;"Potsdam";0,00583644829169126;1;62;2;0,0645161290322581;0,000376545051076855
"P0003";"P0004";1;"Potsdam";0,00670535772837563;0;62;0;0;0
"P0004";"P0005";2;"Potsdam";0,00734474391763394;0;62;0;0;0
"P0005";"P0006";2;"Potsdam";0,0169355367565086;0;62;0;0;0
"P0006";"P0007";2;"Potsdam";0,0169355367565086;0;62;0;0;0
"P0006";"P0009";2;"Potsdam";0,0263295953833038;1;62;8;0,258064516129032;0,0067947342924655
"P0007";"P0008";2;"Potsdam";0,00734474391763394;0;62;0;0;0
"P0008";"P0003";1;"Potsdam";0,00670535772837563;0;62;0;0;0
"P0008";"P0004";1;"Potsdam";0,00567250311495836;0;62;0;0;0
"P0009";"P0010";2;"Potsdam";0,0292478195291495;1;62;9;0,290322580645161;0,00849130244394662
"P0010";"P0011";2;"Potsdam";0,0320676765689553;1;62;10;0,32258064516129;0,0103444117964372
"P0011";"P0012";2;"Potsdam";0,0497081775854154;1;62;11;0,354838709677419;0,0176383855948248
"P0012";"P0025";5;"Potsdam";0,0736113843530723;1;62;24;0,774193548387097;0,0569894588539915
"P0013";"P0014";1;"Potsdam";0,00196734212079481;1;62;1;0,032258064516129;6,3462649057897e-05
"P0014";"P0015";1;"Potsdam";0,00583644829169126;1;62;2;0,0645161290322581;0,000376545051076855
"P0015";"P0016";1;"Potsdam";0,0132467702800184;1;62;3;0,0967741935483871;0,00128194551096952
"P0016";"P0019";3;"Potsdam";0,0201980457734933;1;62;6;0,193548387096774;0,00390929918196645
"P0017";"P0018";2;"Potsdam";0,00196734212079481;1;62;1;0,032258064516129;6,3462649057897e-05
"P0018";"P0016";2;"Potsdam";0,0113450062299167;1;62;2;0,0645161290322581;0,000731935885801079
"P0019";"P0020";3;"Potsdam";0,0232146370253787;1;62;7;0,225806451612903;0,00524201481218229
"P0020";"P0021";3;"Potsdam";0,0262968063479572;1;62;8;0,258064516129032;0,00678627260592445
"P0021";"P0022";3;"Potsdam";0,0292478195291495;1;62;9;0,290322580645161;0,00849130244394662
"P0022";"P0023";3;"Potsdam";0,0320676765689553;1;62;10;0,32258064516129;0,0103444117964372
"P0023";"P0024";3;"Potsdam";0,0347563774673749;1;62;11;0,354838709677419;0,0123329081335846
"P0024";"P0012";3;"Potsdam";0,0510197389992786;1;62;12;0,387096774193548;0,0197495763868175
"P0025";"P0040";5;"Potsdam";0,0428552691979802;0;62;0;0;0
"P0025";"P0044";1;"Potsdam";0,067938881238114;0;62;0;0;0
"P0026";"P0025";1;"Potsdam";0,0406256147944127;0;62;0;0;0
"P0027";"P0028";1;"Potsdam";0,00196734212079481;1;62;1;0,032258064516129;6,3462649057897e-05
"P0028";"P0029";1;"Potsdam";0,00583644829169126;1;62;2;0,0645161290322581;0,000376545051076855
"P0029";"P0030";1;"Potsdam";0,00957439832120139;1;62;3;0,0967741935483871;0,000926554676245296
