"ID.Source";"ID.Target";"Weight";"City";"bCO";"c.rise";"c1.size";"c2.size";"cut.offRel";"weightedCutOff"
"S0001";"S0002";2;"Stuttgart";0,000288413703189062;1;271;1;0,00738007380073801;2,12851441467943e-06
"S0002";"S0003";2;"Stuttgart";0,000863096769766524;1;271;2;0,014760147601476;1,27394357161111e-05
"S0003";"S0004";2;"Stuttgart";0,00143349115674266;1;271;3;0,022140221402214;3,17378115883984e-05
"S0004";"S0005";2;"Stuttgart";0,00199959686411748;1;271;4;0,029520295202952;5,9028689715645e-05
"S0005";"S0006";2;"Stuttgart";0,003737048187604;1;271;5;0,03690036900369;0,000137898457107159
"S0006";"S0007";2;"Stuttgart";0,00536245775650593;0;271;0;0;0
"S0006";"S0031";1;"Stuttgart";0,00359748740557757;0;271;0;0;0
"S0007";"S0008";2;"Stuttgart";0,00756630298663647;0;271;0;0;0
"S0008";"S0009";4;"Stuttgart";0,0137191643936665;0;271;0;0;0
"S0009";"S0010";4;"Stuttgart";0,0171898141000349;0;271;0;0;0
"S0009";"S0125";2;"Stuttgart";0,0124330965982193;0;271;0;0;0
"S0009";"S0143";1;"Stuttgart";0,00984562897775034;0;271;0;0;0
"S0010";"S0011";4;"Stuttgart";0,0167141280542547;0;271;0;0;0
"S0011";"S0012";4;"Stuttgart";0,0170636554417626;0;271;0;0;0
"S0012";"S0013";8;"Stuttgart";0,0174228323583735;0;271;0;0;0
"S0013";"S0014";8;"Stuttgart";0,0213025148817182;0;271;0;0;0
"S0014";"S0195";5;"Stuttgart";0,0161435549722951;0;271;0;0;0
"S0015";"S0016";1;"Stuttgart";0,000288413703189062;1;271;1;0,00738007380073801;2,12851441467943e-06
"S0016";"S0017";2;"Stuttgart";0,000863096769766524;1;271;2;0,014760147601476;1,27394357161111e-05
"S0017";"S0018";2;"Stuttgart";0,00222099994853584;1;271;3;0,022140221402214;4,91734305948895e-05
"S0018";"S0019";2;"Stuttgart";0,00340163770378376;0;271;0;0;0
"S0018";"S0132";1;"Stuttgart";0,00234590774192442;0;271;0;0;0
"S0019";"S0008";2;"Stuttgart";0,00655542546560765;0;271;0;0;0
"S0031";"S0032";1;"Stuttgart";0,00177176076029712;0;271;0;0;0
"S0032";"S0033";1;"Stuttgart";0,00136987574265635;0;271;0;0;0
"S0033";"S0034";1;"Stuttgart";0,00113685748431773;0;271;0;0;0
"S0034";"S0035";1;"Stuttgart";0,00115508437262336;0;271;0;0;0
"S0035";"S0036";1;"Stuttgart";0,00186253781185849;0;271;0;0;0
"S0036";"S0039";2;"Stuttgart";0,0025499774129541;0;271;0;0;0
"S0037";"S0038";1;"Stuttgart";0,000288413703189062;1;271;1;0,00738007380073801;2,12851441467943e-06
"S0038";"S0036";1;"Stuttgart";0,00153338165245684;1;271;2;0,014760147601476;2,26329395196582e-05
"S0039";"S0040";2;"Stuttgart";0,0027879991308276;0;271;0;0;0
"S0040";"S0041";2;"Stuttgart";0,00314824821733884;0;271;0;0;0
"S0041";"S0042";2;"Stuttgart";0,00352600941222216;0;271;0;0;0
"S0042";"S0043";2;"Stuttgart";0,00394415567335129;0;271;0;0;0
"S0043";"S0044";2;"Stuttgart";0,00441001349504514;0;271;0;0;0
"S0044";"S0051";2;"Stuttgart";0,00490356903916422;0;271;0;0;0
"S0051";"S0052";2;"Stuttgart";0,00830127545331344;0;271;0;0;0
"S0052";"S0053";4;"Stuttgart";0,0150568393003162;0;271;0;0;0
"S0053";"S0067";4;"Stuttgart";0,0246648039501598;0;271;0;0;0
"S0053";"S0289";3;"Stuttgart";0,0129146438394547;1;271;14;0,103321033210332;0,00133435434503591
"S0054";"S0055";1;"Stuttgart";0,000288413703189062;1;271;1;0,00738007380073801;2,12851441467943e-06
"S0055";"S0056";1;"Stuttgart";0,000863096769766524;1;271;2;0,014760147601476;1,27394357161111e-05
"S0056";"S0057";1;"Stuttgart";0,00320703886687367;1;271;3;0,022140221402214;7,10045505580886e-05
"S0057";"S0066";2;"Stuttgart";0,00548611468501078;0;271;0;0;0
"S0058";"S0059";1;"Stuttgart";0,00056896482710903;0;271;0;0;0
"S0058";"S0069";1;"Stuttgart";0,000806629155015754;0;271;0;0;0
"S0059";"S0060";1;"Stuttgart";0,0005989855843183;0;271;0;0;0
"S0060";"S0061";1;"Stuttgart";0,000895261866776457;0;271;0;0;0
"S0061";"S0062";1;"Stuttgart";0,0013394975954803;0;271;0;0;0
"S0062";"S0063";1;"Stuttgart";0,00182519056033029;0;271;0;0;0
"S0063";"S0064";1;"Stuttgart";0,00232106913923341;0;271;0;0;0
"S0064";"S0065";1;"Stuttgart";0,00283142201179101;0;271;0;0;0
"S0065";"S0057";1;"Stuttgart";0,00417806740660685;0;271;0;0;0
"S0066";"S0052";2;"Stuttgart";0,00857807398258225;0;271;0;0;0
"S0067";"S0068";4;"Stuttgart";0,0381338311060791;0;271;0;0;0
"S0067";"S0266";1;"Stuttgart";0,0248437491065251;0;271;0;0;0
"S0068";"S0014";8;"Stuttgart";0,0353015156193711;0;271;0;0;0
"S0068";"S0258";4;"Stuttgart";0,0234008943326529;0;271;0;0;0
"S0068";"S0263";1;"Stuttgart";0,0229904319558095;0;271;0;0;0
"S0069";"S0070";1;"Stuttgart";0,00121280285225785;0;271;0;0;0
"S0070";"S0071";1;"Stuttgart";0,00169563669737361;0;271;0;0;0
"S0071";"S0072";1;"Stuttgart";0,00220777651976509;0;271;0;0;0
"S0072";"S0073";1;"Stuttgart";0,00273099543112666;0;271;0;0;0
"S0073";"S0074";1;"Stuttgart";0,00566659661823318;0;271;0;0;0
"S0074";"S0093";2;"Stuttgart";0,00847353741729996;0;271;0;0;0
"S0084";"S0085";1;"Stuttgart";0,000288413703189062;1;271;1;0,00738007380073801;2,12851441467943e-06
"S0085";"S0086";1;"Stuttgart";0,000863096769766524;1;271;2;0,014760147601476;1,27394357161111e-05
"S0086";"S0087";1;"Stuttgart";0,00143349115674266;1;271;3;0,022140221402214;3,17378115883984e-05
"S0087";"S0088";1;"Stuttgart";0,00199959686411748;1;271;4;0,029520295202952;5,9028689715645e-05
"S0088";"S0089";1;"Stuttgart";0,00256141389189096;1;271;5;0,03690036900369;9,45171177819544e-05
"S0089";"S0090";1;"Stuttgart";0,00311894224006313;1;271;6;0,044280442804428;0,00013810814347143
"S0090";"S0091";1;"Stuttgart";0,00367218190863397;1;271;7;0,0516605166051661;0,000189706814468176
"S0091";"S0092";1;"Stuttgart";0,00422113289760349;1;271;8;0,0590405904059041;0,000249218178456294
"S0092";"S0074";1;"Stuttgart";0,00641675815849816;1;271;9;0,0664206642066421;0,000426205338940837
"S0093";"S0094";2;"Stuttgart";0,00885362164696733;0;271;0;0;0
"S0094";"S0095";2;"Stuttgart";0,0129751142218334;0;271;0;0;0
"S0095";"S0096";2;"Stuttgart";0,0209259330737253;0;271;0;0;0
"S0095";"S0237";2;"Stuttgart";0,00984616506270049;1;271;6;0,044280442804428;0,000435992548901867
"S0096";"S0068";2;"Stuttgart";0,0353019444873312;0;271;0;0;0
"S0103";"S0111";1;"Stuttgart";0,000288413703189062;1;271;1;0,00738007380073801;2,12851441467943e-06
"S0111";"S0112";1;"Stuttgart";0,000863096769766524;1;271;2;0,014760147601476;1,27394357161111e-05
"S0112";"S0114";1;"Stuttgart";0,00143349115674266;1;271;3;0,022140221402214;3,17378115883984e-05
"S0114";"S0115";1;"Stuttgart";0,00199959686411748;1;271;4;0,029520295202952;5,9028689715645e-05
"S0115";"S0116";1;"Stuttgart";0,00256141389189096;1;271;5;0,03690036900369;9,45171177819544e-05
"S0116";"S0117";1;"Stuttgart";0,00311894224006313;1;271;6;0,044280442804428;0,00013810814347143
"S0117";"S0118";1;"Stuttgart";0,00367218190863397;1;271;7;0,0516605166051661;0,000189706814468176
"S0118";"S0119";1;"Stuttgart";0,00422113289760349;1;271;8;0,0590405904059041;0,000249218178456294
"S0119";"S0120";1;"Stuttgart";0,00476579520697168;1;271;9;0,0664206642066421;0,00031654728311989
"S0120";"S0121";1;"Stuttgart";0,00530616883673854;1;271;10;0,0738007380073801;0,000391599176143066
"S0121";"S0122";1;"Stuttgart";0,00845877721167207;1;271;11;0,0811808118081181;0,000686690400947548
"S0122";"S0123";1;"Stuttgart";0,0112897346165063;0;271;0;0;0
"S0122";"S0228";1;"Stuttgart";0,00617988008851835;0;271;0;0;0
"S0123";"S0096";2;"Stuttgart";0,0181189922746585;0;271;0;0;0
"S0124";"S0139";1;"Stuttgart";0,00199959686411748;1;271;4;0,029520295202952;5,9028689715645e-05
"S0125";"S0126";2;"Stuttgart";0,00690799066783319;0;271;0;0;0
"S0126";"S0127";3;"Stuttgart";0,00609635805328256;0;271;0;0;0
"S0127";"S0128";3;"Stuttgart";0,00560691249378141;0;271;0;0;0
"S0128";"S0129";5;"Stuttgart";0,00496879270810103;0;271;0;0;0
"S0129";"S0124";1;"Stuttgart";0,00320507322205639;1;271;5;0,03690036900369;0,000118268384577727
"S0129";"S0165";4;"Stuttgart";0,00294542941119288;0;271;0;0;0
"S0130";"S0131";1;"Stuttgart";0,000288413703189062;1;271;1;0,00738007380073801;2,12851441467943e-06
"S0131";"S0126";1;"Stuttgart";0,00368236752268711;1;271;2;0,014760147601476;5,43522881577434e-05
"S0132";"S0133";1;"Stuttgart";0,00120029420342065;0;271;0;0;0
"S0133";"S0134";1;"Stuttgart";0,00106627296587927;0;271;0;0;0
"S0134";"S0135";2;"Stuttgart";0,00162362261906804;0;271;0;0;0
"S0135";"S0128";2;"Stuttgart";0,0039625612566403;0;271;0;0;0
"S0135";"S0136";1;"Stuttgart";0,00131537377272285;0;271;0;0;0
"S0136";"S0137";1;"Stuttgart";0,000258392945979792;0;271;0;0;0
"S0137";"S0138";1;"Stuttgart";3,10929271096015e-05;0;271;0;0;0
"S0138";"S0134";1;"Stuttgart";0,000595590379633918;0;271;0;0;0
"S0139";"S0140";1;"Stuttgart";0,00143349115674266;1;271;3;0,022140221402214;3,17378115883984e-05
"S0140";"S0141";1;"Stuttgart";0,000863096769766524;1;271;2;0,014760147601476;1,27394357161111e-05
"S0141";"S0142";1;"Stuttgart";0,000288413703189062;1;271;1;0,00738007380073801;2,12851441467943e-06
"S0143";"S0144";1;"Stuttgart";0,00158187947094848;0;271;0;0;0
"S0144";"S0145";1;"Stuttgart";0,00103936150138095;0;271;0;0;0
"S0145";"S0146";1;"Stuttgart";0,000623502536039204;0;271;0;0;0
"S0146";"S0147";1;"Stuttgart";0,000555705659341602;0;271;0;0;0
"S0147";"S0148";1;"Stuttgart";0,000806200287055621;0;271;0;0;0
"S0148";"S0149";1;"Stuttgart";0,00115787201436422;0;271;0;0;0
"S0149";"S0150";2;"Stuttgart";0,00151919327077579;0;271;0;0;0
"S0150";"S0152";3;"Stuttgart";0,00191178614928036;0;271;0;0;0
"S0152";"S0153";3;"Stuttgart";0,00237264051143934;0;271;0;0;0
"S0153";"S0154";3;"Stuttgart";0,00289550203283413;0;271;0;0;0
"S0154";"S0155";3;"Stuttgart";0,00343802000240166;0;271;0;0;0
"S0155";"S0014";1;"Stuttgart";0,014354603754596;0;271;0;0;0
"S0155";"S0163";2;"Stuttgart";0,00336132411553131;0;271;0;0;0
"S0162";"S0170";4;"Stuttgart";0,00336714957198978;0;271;0;0;0
"S0163";"S0014";4;"Stuttgart";0,0140066488829419;0;271;0;0;0
"S0163";"S0164";6;"Stuttgart";0,00858079014632975;0;271;0;0;0
"S0164";"S0210";11;"Stuttgart";0,0149398655641901;0;271;0;0;0
"S0165";"S0166";4;"Stuttgart";0,00192525975102785;0;271;0;0;0
"S0166";"S0167";4;"Stuttgart";0,00226299326963215;0;271;0;0;0
"S0167";"S0169";4;"Stuttgart";0,0026168093367414;0;271;0;0;0
"S0169";"S0162";4;"Stuttgart";0,00298134710285397;0;271;0;0;0
"S0170";"S0171";1;"Stuttgart";0,00575773105976132;0;271;0;0;0
"S0170";"S0172";3;"Stuttgart";0,00692586016617204;0;271;0;0;0
"S0171";"S0182";2;"Stuttgart";0,00776679875799839;0;271;0;0;0
"S0172";"S0171";1;"Stuttgart";0,00911612457756506;0;271;0;0;0
"S0172";"S0173";4;"Stuttgart";0,0104842133703875;0;271;0;0;0
"S0173";"S0174";4;"Stuttgart";0,012224881203575;0;271;0;0;0
"S0174";"S0164";5;"Stuttgart";0,0139569001995666;0;271;0;0;0
"S0174";"S0175";1;"Stuttgart";0,00803162472338016;0;271;0;0;0
"S0175";"S0176";1;"Stuttgart";0,00202640111162575;0;271;0;0;0
"S0176";"S0177";1;"Stuttgart";0,0014967491808622;0;271;0;0;0
"S0177";"S0178";1;"Stuttgart";0,00100783970631122;0;271;0;0;0
"S0178";"S0179";1;"Stuttgart";0,0005725387267768;0;271;0;0;0
"S0179";"S0180";1;"Stuttgart";0,000289485873089393;0;271;0;0;0
"S0180";"S0181";1;"Stuttgart";0,000372042955414887;0;271;0;0;0
"S0181";"S0182";1;"Stuttgart";0,00405923524265349;0;271;0;0;0
"S0182";"S0183";3;"Stuttgart";0,00684741306846448;1;271;12;0,0885608856088561;0,000606412965472869
"S0183";"S0184";3;"Stuttgart";0,00584225378690409;1;271;11;0,0811808118081181;0,000474278905209926
"S0184";"S0185";3;"Stuttgart";0,00530616883673854;1;271;10;0,0738007380073801;0,000391599176143066
"S0185";"S0186";3;"Stuttgart";0,00476579520697168;1;271;9;0,0664206642066421;0,00031654728311989
"S0186";"S0187";3;"Stuttgart";0,00422113289760349;1;271;8;0,0590405904059041;0,000249218178456294
"S0187";"S0188";2;"Stuttgart";0,00367218190863397;1;271;7;0,0516605166051661;0,000189706814468176
"S0188";"S0189";2;"Stuttgart";0,00311894224006313;1;271;6;0,044280442804428;0,00013810814347143
"S0189";"S0190";2;"Stuttgart";0,00256141389189096;1;271;5;0,03690036900369;9,45171177819544e-05
"S0190";"S0191";2;"Stuttgart";0,00199959686411748;1;271;4;0,029520295202952;5,9028689715645e-05
"S0191";"S0192";2;"Stuttgart";0,00143349115674266;1;271;3;0,022140221402214;3,17378115883984e-05
"S0192";"S0193";2;"Stuttgart";0,000863096769766524;1;271;2;0,014760147601476;1,27394357161111e-05
"S0193";"S0194";2;"Stuttgart";0,000288413703189062;1;271;1;0,00738007380073801;2,12851441467943e-06
"S0195";"S0196";1;"Stuttgart";0,00421827377786927;1;271;3;0,022140221402214;9,33935153771794e-05
"S0195";"S0199";3;"Stuttgart";0,00616211780716953;1;271;10;0,0738007380073801;0,00045476884185753
"S0195";"S0209";3;"Stuttgart";0,00491697116291836;0;271;0;0;0
"S0196";"S0197";1;"Stuttgart";0,000863096769766524;1;271;2;0,014760147601476;1,27394357161111e-05
"S0197";"S0198";1;"Stuttgart";0,000288413703189062;1;271;1;0,00738007380073801;2,12851441467943e-06
"S0199";"S0200";3;"Stuttgart";0,00476579520697168;1;271;9;0,0664206642066421;0,00031654728311989
"S0200";"S0201";3;"Stuttgart";0,00422113289760349;1;271;8;0,0590405904059041;0,000249218178456294
"S0201";"S0202";3;"Stuttgart";0,00367218190863397;1;271;7;0,0516605166051661;0,000189706814468176
"S0202";"S0203";2;"Stuttgart";0,00311894224006313;1;271;6;0,044280442804428;0,00013810814347143
"S0203";"S0204";2;"Stuttgart";0,00256141389189096;1;271;5;0,03690036900369;9,45171177819544e-05
"S0204";"S0205";2;"Stuttgart";0,00199959686411748;1;271;4;0,029520295202952;5,9028689715645e-05
"S0205";"S0206";2;"Stuttgart";0,00143349115674266;1;271;3;0,022140221402214;3,17378115883984e-05
"S0206";"S0207";2;"Stuttgart";0,000863096769766524;1;271;2;0,014760147601476;1,27394357161111e-05
"S0207";"S0208";2;"Stuttgart";0,000288413703189062;1;271;1;0,00738007380073801;2,12851441467943e-06
"S0209";"S0068";3;"Stuttgart";0,0240749318099943;0;271;0;0;0
"S0210";"S0068";5;"Stuttgart";0,0306673113981667;0;271;0;0;0
"S0210";"S0211";6;"Stuttgart";0,0106403213078757;0;271;0;0;0
"S0211";"S0212";6;"Stuttgart";0,00557539069871168;0;271;0;0;0
