"ID.Source";"ID.Target";"Weight";"City";"bCO";"c.rise";"c1.size";"c2.size";"cut.offRel";"weightedCutOff"
"H0001";"H0002";2;"Hannover";0,000305572179948765;1;195;1;0,0102564102564103;3,13407364050016e-06
"H0002";"H0003";2;"Hannover";0,000913549988758744;1;195;2;0,0205128205128205;1,87394869488973e-05
"H0003";"H0004";2;"Hannover";0,00151519469539362;1;195;3;0,0307692307692308;4,66213752428806e-05
"H0004";"H0005";2;"Hannover";0,00211050629985339;1;195;4;0,041025641025641;8,6584873840139e-05
"H0005";"H0006";2;"Hannover";0,00269948480213806;1;195;5;0,0512820512820513;0,000138435118058362
"H0006";"H0007";3;"Hannover";0,00328213020224762;1;195;6;0,0615384615384615;0,000201977243215238
"H0007";"H0008";3;"Hannover";0,00385844250018208;1;195;7;0,0717948717948718;0,000277016384628457
"H0008";"H0009";3;"Hannover";0,00442842169594143;1;195;8;0,0820512820512821;0,000363357677615707
"H0009";"H0010";3;"Hannover";0,00499206778952568;1;195;9;0,0923076923076923;0,000460806257494678
"H0010";"H0011";3;"Hannover";0,00554938078093483;1;195;10;0,102564102564103;0,000569167259583059
"H0011";"H0012";2;"Hannover";0,00774380068460835;0;195;0;0;0
"H0011";"H0013";1;"Hannover";0,00662442487515872;0;195;0;0;0
"H0012";"H0039";3;"Hannover";0,00987488956653082;0;195;0;0;0
"H0013";"H0012";1;"Hannover";0,00854177155867144;0;195;0;0;0
"H0013";"H0025";1;"Hannover";0,00508864759769602;0;195;0;0;0
"H0014";"H0015";1;"Hannover";0,000305572179948765;1;195;1;0,0102564102564103;3,13407364050016e-06
"H0015";"H0016";1;"Hannover";0,000913549988758744;1;195;2;0,0205128205128205;1,87394869488973e-05
"H0016";"H0017";1;"Hannover";0,00151519469539362;1;195;3;0,0307692307692308;4,66213752428806e-05
"H0017";"H0018";1;"Hannover";0,00211050629985339;1;195;4;0,041025641025641;8,6584873840139e-05
"H0018";"H0019";1;"Hannover";0,00269948480213806;1;195;5;0,0512820512820513;0,000138435118058362
"H0019";"H0020";1;"Hannover";0,00328213020224762;1;195;6;0,0615384615384615;0,000201977243215238
"H0020";"H0021";1;"Hannover";0,00385844250018208;1;195;7;0,0717948717948718;0,000277016384628457
"H0021";"H0022";1;"Hannover";0,00442842169594143;1;195;8;0,0820512820512821;0,000363357677615707
"H0022";"H0023";1;"Hannover";0,00499206778952568;1;195;9;0,0923076923076923;0,000460806257494678
"H0023";"H0024";1;"Hannover";0,00554938078093483;1;195;10;0,102564102564103;0,000569167259583059
"H0024";"H0013";1;"Hannover";0,00662442487515872;1;195;11;0,112820512820513;0,000747371011556369
"H0025";"H0035";1;"Hannover";0,00526280790751138;0;195;0;0;0
"H0026";"H0027";1;"Hannover";0,000305572179948765;1;195;1;0,0102564102564103;3,13407364050016e-06
"H0027";"H0028";1;"Hannover";0,000913549988758744;1;195;2;0,0205128205128205;1,87394869488973e-05
