"ID.Source";"ID.Target";"Weight";"City";"bCO";"c.rise";"c1.size";"c2.size";"cut.offRel"
"K0001";"K0002";1;"Köln";0,000339062580346583;1;213;1;0,00938967136150235
"K0002";"K0003";1;"Köln";0,00101397387771893;1;213;2;0,0187793427230047
"K0003";"K0004";1;"Köln";0,00168245744844963;1;213;3;0,028169014084507
"K0004";"K0005";1;"Köln";0,00234451329253869;1;213;4;0,0375586854460094
"K0005";"K0006";1;"Köln";0,00300014140998612;1;213;5;0,0469483568075117
"K0006";"K0007";1;"Köln";0,0036493418007919;1;213;6;0,0563380281690141
"K0007";"K0008";1;"Köln";0,00429211446495603;1;213;7;0,0657276995305164
"K0008";"K0009";1;"Köln";0,00492845940247853;1;213;8;0,0751173708920188
"K0009";"K0010";1;"Köln";0,00720629650919349;1;213;9;0,0845070422535211
"K0010";"K0011";2;"Köln";0,00890831643759474;0;213;0;0
"K0011";"K0012";2;"Köln";0,0122309154674365;0;213;0;0
"K0012";"K0081";2;"Köln";0,0116788005311139;0;213;0;0
"K0012";"K0181";1;"Köln";0,0117466283512943;0;213;0;0
"K0013";"K0014";1;"Köln";0,000339062580346583;1;213;1;0,00938967136150235
"K0014";"K0015";1;"Köln";0,00101397387771893;1;213;2;0,0187793427230047
"K0015";"K0016";1;"Köln";0,00168245744844963;1;213;3;0,028169014084507
"K0016";"K0017";1;"Köln";0,00234451329253869;1;213;4;0,0375586854460094
"K0017";"K0018";1;"Köln";0,00300014140998612;1;213;5;0,0469483568075117
"K0018";"K0019";1;"Köln";0,0036493418007919;1;213;6;0,0563380281690141
"K0019";"K0020";1;"Köln";0,00429211446495603;1;213;7;0,0657276995305164
"K0020";"K0021";1;"Köln";0,00492845940247853;1;213;8;0,0751173708920188
"K0021";"K0022";1;"Köln";0,00555837661335939;1;213;9;0,0845070422535211
"K0022";"K0023";1;"Köln";0,0061818660975986;1;213;10;0,0938967136150235
"K0023";"K0012";1;"Köln";0,0111523850232745;1;213;11;0,103286384976526
"K0024";"K0025";1;"Köln";0,000339062580346583;1;213;1;0,00938967136150235
"K0025";"K0026";1;"Köln";0,00426116955240984;1;213;2;0,0187793427230047
"K0026";"K0038";1;"Köln";0,00592501337579305;0;213;0;0
"K0026";"K0046";1;"Köln";0,00632392268240663;0;213;0;0
"K0027";"K0028";2;"Köln";0,00143204393136902;0;213;0;0
"K0027";"K0039";1;"Köln";0,00167361932431738;0;213;0;0
"K0028";"K0029";2;"Köln";0,00365335912994292;0;213;0;0
"K0029";"K0026";1;"Köln";0,00690109044852064;0;213;0;0
"K0029";"K0030";1;"Köln";0,00528493040914623;1;213;8;0,0751173708920188
"K0030";"K0031";1;"Köln";0,00429211446495603;1;213;7;0,0657276995305164
"K0031";"K0032";1;"Köln";0,0036493418007919;1;213;6;0,0563380281690141
"K0032";"K0033";1;"Köln";0,00300014140998612;1;213;5;0,0469483568075117
"K0033";"K0034";1;"Köln";0,00234451329253869;1;213;4;0,0375586854460094
"K0034";"K0035";1;"Köln";0,00168245744844963;1;213;3;0,028169014084507
"K0035";"K0036";1;"Köln";0,00101397387771893;1;213;2;0,0187793427230047
"K0036";"K0037";1;"Köln";0,000339062580346583;1;213;1;0,00938967136150235
"K0038";"K0010";1;"Köln";0,0065866904431336;0;213;0;0
"K0039";"K0040";1;"Köln";0,00203866063317393;0;213;0;0
"K0040";"K0041";1;"Köln";0,0024843163469944;0;213;0;0
"K0041";"K0042";1;"Köln";0,00298782160058964;0;213;0;0
"K0042";"K0043";1;"Köln";0,00737297740868343;0;213;0;0
"K0043";"K0044";2;"Köln";0,0132874500779897;0;213;0;0
"K0043";"K0050";2;"Köln";0,0110490363613435;0;213;0;0
"K0044";"K0045";4;"Köln";0,0192583910910484;0;213;0;0
"K0045";"K0084";3;"Köln";0,0231258470825467;0;213;0;0
"K0045";"K0127";4;"Köln";0,0143164525927613;0;213;0;0
"K0046";"K0047";1;"Köln";0,00496191418923716;0;213;0;0
"K0047";"K0048";1;"Köln";0,00532695549809371;0;213;0;0
"K0048";"K0049";1;"Köln";0,00577261121191418;0;213;0;0
"K0049";"K0050";1;"Köln";0,00830802798570965;0;213;0;0
"K0050";"K0051";1;"Köln";0,00595037993986098;0;213;0;0
"K0050";"K0080";2;"Köln";0,0136208998756082;0;213;0;0
"K0051";"K0045";1;"Köln";0,0123658097282725;0;213;0;0
"K0052";"K0053";1;"Köln";0,000339062580346583;1;213;1;0,00938967136150235
"K0053";"K0054";1;"Köln";0,00101397387771893;1;213;2;0,0187793427230047
"K0054";"K0055";1;"Köln";0,00168245744844963;1;213;3;0,028169014084507
"K0055";"K0056";1;"Köln";0,00234451329253869;1;213;4;0,0375586854460094
"K0056";"K0057";1;"Köln";0,00300014140998612;1;213;5;0,0469483568075117
"K0057";"K0058";1;"Köln";0,0036493418007919;1;213;6;0,0563380281690141
"K0058";"K0059";2;"Köln";0,00429211446495603;1;213;7;0,0657276995305164
"K0059";"K0060";2;"Köln";0,00492845940247853;1;213;8;0,0751173708920188
"K0060";"K0061";2;"Köln";0,00555837661335939;1;213;9;0,0845070422535211
"K0061";"K0062";2;"Köln";0,0061818660975986;1;213;10;0,0938967136150235
"K0062";"K0063";2;"Köln";0,00679892785519617;1;213;11;0,103286384976526
"K0063";"K0064";2;"Köln";0,00741036535198231;1;213;12;0,112676056338028
"K0064";"K0065";1;"Köln";0,00592556049776315;0;213;0;0
"K0064";"K0067";1;"Köln";0,00592556049776315;0;213;0;0
"K0065";"K0066";1;"Köln";0,00687579275295247;0;213;0;0
"K0066";"K0068";2;"Köln";0,00631400944447301;0;213;0;0
"K0066";"K0076";1;"Köln";0,00837173900001714;0;213;0;0
"K0067";"K0066";2;"Köln";0,00687579275295247;0;213;0;0
"K0068";"K0069";2;"Köln";0,00506419156339452;0;213;0;0
"K0069";"K0043";3;"Köln";0,00930461639327402;0;213;0;0
"K0069";"K0070";1;"Köln";0,00522102809345057;1;213;6;0,0563380281690141
"K0070";"K0071";1;"Köln";0,00300014140998612;1;213;5;0,0469483568075117
"K0071";"K0072";1;"Köln";0,00234451329253869;1;213;4;0,0375586854460094
"K0072";"K0073";1;"Köln";0,00168245744844963;1;213;3;0,028169014084507
"K0073";"K0074";1;"Köln";0,00101397387771893;1;213;2;0,0187793427230047
"K0074";"K0075";1;"Köln";0,000339062580346583;1;213;1;0,00938967136150235
"K0076";"K0077";1;"Köln";0,010591474049125;0;213;0;0
"K0077";"K0044";2;"Köln";0,0145680942647538;0;213;0;0
"K0077";"K0078";2;"Köln";0,0111461065117156;0;213;0;0
"K0078";"K0079";2;"Köln";0,0080767063471658;0;213;0;0
"K0079";"K0196";2;"Köln";0,00777875443513138;0;213;0;0
"K0080";"K0045";2;"Köln";0,0200363296640197;0;213;0;0
"K0080";"K0126";2;"Köln";0,0140617347944474;0;213;0;0
"K0081";"K0082";2;"Köln";0,00764392904279518;0;213;0;0
"K0082";"K0083";2;"Köln";0,00792005346644236;0;213;0;0
"K0083";"K0080";2;"Köln";0,0123671679681283;0;213;0;0
"K0084";"K0085";3;"Köln";0,0230487564491524;1;213;41;0,384976525821596
"K0085";"K0086";1;"Köln";0,0157977451534941;1;213;14;0,131455399061033
"K0085";"K0100";2;"Köln";0,0191530184604309;1;213;26;0,244131455399061
"K0086";"K0087";1;"Köln";0,0080137681904664;1;213;13;0,122065727699531
"K0087";"K0088";1;"Köln";0,00740956188615211;1;213;12;0,112676056338028
"K0088";"K0089";1;"Köln";0,00679892785519617;1;213;11;0,103286384976526
"K0089";"K0090";1;"Köln";0,0061818660975986;1;213;10;0,0938967136150235
