"ID.Source";"ID.Target";"Weight";"City";"bCO";"c.rise";"c1.size";"c2.size";"cut.offRel";"weightedCutOff"
"J0001";"J0002";2;"Jena";0,00270556405128808;1;48;1;0,0416666666666667;0,000112731835470337
"J0002";"J0003";2;"Jena";0,00799905893424303;1;48;2;0,0833333333333333;0,000666588244520252
"J0003";"J0004";2;"Jena";0,0130572873779555;1;48;3;0,125;0,00163216092224444
"J0004";"J0005";2;"Jena";0,0178802493824256;1;48;4;0,166666666666667;0,0029800415637376
"J0005";"J0006";2;"Jena";0,0224679449476532;1;48;5;0,208333333333333;0,00468082186409442
"J0006";"J0007";2;"Jena";0,0268203740736384;1;48;6;0,25;0,0067050935184096
"J0007";"J0008";2;"Jena";0,0309375367603811;1;48;7;0,291666666666667;0,00902344822177783
"J0008";"J0009";2;"Jena";0,0348194330078814;1;48;8;0,333333333333333;0,0116064776692938
"J0009";"J0010";2;"Jena";0,0384660628161393;1;48;9;0,375;0,0144247735560522
"J0010";"J0011";2;"Jena";0,0418774261851547;1;48;10;0,416666666666667;0,0174489275771478
"J0011";"J0012";2;"Jena";0,0450535231149277;1;48;11;0,458333333333333;0,0206495314276752
"J0012";"J0013";2;"Jena";0,0629337724973532;1;48;12;0,5;0,0314668862486766
"J0013";"J0023";2;"Jena";0,0685213504293612;0;48;0;0;0
"J0013";"J0024";1;"Jena";0,0468768380190566;0;48;0;0;0
"J0014";"J0015";1;"Jena";0,00270556405128808;1;48;1;0,0416666666666667;0,000112731835470337
"J0015";"J0016";1;"Jena";0,00799905893424303;1;48;2;0,0833333333333333;0,000666588244520252
"J0016";"J0017";1;"Jena";0,0130572873779555;1;48;3;0,125;0,00163216092224444
"J0017";"J0018";1;"Jena";0,0178802493824256;1;48;4;0,166666666666667;0,0029800415637376
"J0018";"J0019";1;"Jena";0,0224679449476532;1;48;5;0,208333333333333;0,00468082186409442
"J0019";"J0020";1;"Jena";0,0268203740736384;1;48;6;0,25;0,0067050935184096
"J0020";"J0021";1;"Jena";0,0309375367603811;1;48;7;0,291666666666667;0,00902344822177783
"J0021";"J0013";1;"Jena";0,0561110457593224;1;48;8;0,333333333333333;0,0187036819197741
"J0022";"J0048";1;"Jena";0,00270556405128808;1;48;1;0,0416666666666667;0,000112731835470337
"J0023";"J0025";3;"Jena";0,0541700976355723;0;48;0;0;0
"J0024";"J0042";1;"Jena";0,0131749205975768;0;48;0;0;0
"J0025";"J0026";3;"Jena";0,0500529349488295;0;48;0;0;0
"J0026";"J0027";3;"Jena";0,0489942359722386;0;48;0;0;0
"J0027";"J0028";3;"Jena";0,0536113398423715;0;48;0;0;0
"J0028";"J0029";2;"Jena";0,0467592047994354;0;48;0;0;0
"J0028";"J0037";2;"Jena";0,0361722150335255;0;48;0;0;0
"J0029";"J0030";1;"Jena";0,0274967650864604;0;48;0;0;0
"J0029";"J0035";1;"Jena";0,0227620279967063;0;48;0;0;0
"J0030";"J0031";3;"Jena";0,0178802493824256;1;48;4;0,166666666666667;0,0029800415637376
"J0031";"J0032";2;"Jena";0,0130572873779555;1;48;3;0,125;0,00163216092224444
"J0032";"J0033";2;"Jena";0,00799905893424303;1;48;2;0,0833333333333333;0,000666588244520252
"J0033";"J0034";2;"Jena";0,00270556405128808;1;48;1;0,0416666666666667;0,000112731835470337
"J0035";"J0030";1;"Jena";0,0154981766850959;0;48;0;0;0
"J0035";"J0036";1;"Jena";0,00846959181272791;0;48;0;0;0
"J0037";"J0038";2;"Jena";0,0112927890836372;0;48;0;0;0
"J0038";"J0039";2;"Jena";0,00685213504293613;0;48;0;0;0
"J0039";"J0040";2;"Jena";0,00285260557581461;0;48;0;0;0
"J0040";"J0041";2;"Jena";0,00129396541583343;0;48;0;0;0
"J0041";"J0036";2;"Jena";0,00388189624750029;0;48;0;0;0
"J0042";"J0043";1;"Jena";0,0113516056934478;0;48;0;0;0
"J0043";"J0044";1;"Jena";0,0102929067168568;0;48;0;0;0
"J0044";"J0045";1;"Jena";0,00923420774026585;0;48;0;0;0
"J0045";"J0046";1;"Jena";0,00829314198329608;0;48;0;0;0
"J0046";"J0047";1;"Jena";0,00876367486178097;0;48;0;0;0
"J0047";"J0028";1;"Jena";0,03420185860487;0;48;0;0;0
"J0048";"J0023";1;"Jena";0,0315845194682979;1;48;2;0,0833333333333333;0,00263204328902482
