"ID.Source";"ID.Target";"Weight";"City";"bCO";"c.rise";"c1.size";"c2.size";"cut.offRel"
"J0001";"J0002";2;"Jena";0,00275061124694377;1;47;1;0,0425531914893617
"J0002";"J0003";2;"Jena";0,00812958435207824;1;47;2;0,0851063829787234
"J0003";"J0004";2;"Jena";0,0132640586797066;1;47;3;0,127659574468085
"J0004";"J0005";2;"Jena";0,0181540342298288;1;47;4;0,170212765957447
"J0005";"J0006";2;"Jena";0,022799511002445;1;47;5;0,212765957446809
"J0006";"J0007";2;"Jena";0,027200488997555;1;47;6;0,25531914893617
"J0007";"J0008";2;"Jena";0,0313569682151589;1;47;7;0,297872340425532
"J0008";"J0009";2;"Jena";0,0352689486552567;1;47;8;0,340425531914894
"J0009";"J0010";2;"Jena";0,0389364303178484;1;47;9;0,382978723404255
"J0010";"J0011";2;"Jena";0,042359413202934;1;47;10;0,425531914893617
"J0011";"J0012";2;"Jena";0,0455378973105134;1;47;11;0,468085106382979
"J0012";"J0013";2;"Jena";0,0644254278728606;1;47;12;0,51063829787234
"J0013";"J0023";3;"Jena";0,0665036674816626;0;47;0;0
"J0013";"J0024";1;"Jena";0,0482273838630807;0;47;0;0
"J0014";"J0015";1;"Jena";0,00275061124694377;1;47;1;0,0425531914893617
"J0015";"J0016";1;"Jena";0,00812958435207824;1;47;2;0,0851063829787234
"J0016";"J0017";1;"Jena";0,0132640586797066;1;47;3;0,127659574468085
"J0017";"J0018";1;"Jena";0,0181540342298288;1;47;4;0,170212765957447
"J0018";"J0019";1;"Jena";0,022799511002445;1;47;5;0,212765957446809
"J0019";"J0020";1;"Jena";0,027200488997555;1;47;6;0,25531914893617
"J0020";"J0021";1;"Jena";0,0313569682151589;1;47;7;0,297872340425532
"J0021";"J0013";1;"Jena";0,0575794621026895;1;47;8;0,340425531914894
"J0022";"J0013";1;"Jena";0,0408924205378973;1;47;1;0,0425531914893617
"J0023";"J0025";3;"Jena";0,0507334963325183;0;47;0;0
"J0024";"J0042";1;"Jena";0,0133863080684597;0;47;0;0
"J0025";"J0026";3;"Jena";0,0497555012224939;0;47;0;0
"J0026";"J0027";3;"Jena";0,0487775061124694;0;47;0;0
"J0027";"J0028";3;"Jena";0,05369804400978;0;47;0;0
"J0028";"J0029";2;"Jena";0,0471271393643032;0;47;0;0
"J0028";"J0037";2;"Jena";0,0364303178484108;0;47;0;0
"J0029";"J0030";1;"Jena";0,0278422982885086;0;47;0;0
"J0029";"J0035";1;"Jena";0,0230440097799511;0;47;0;0
"J0030";"J0031";3;"Jena";0,0181540342298288;1;47;4;0,170212765957447
"J0031";"J0032";2;"Jena";0,0132640586797066;1;47;3;0,127659574468085
"J0032";"J0033";2;"Jena";0,00812958435207824;1;47;2;0,0851063829787234
"J0033";"J0034";2;"Jena";0,00275061124694377;1;47;1;0,0425531914893617
"J0035";"J0030";1;"Jena";0,015739608801956;0;47;0;0
"J0035";"J0036";1;"Jena";0,00861858190709047;0;47;0;0
"J0037";"J0038";2;"Jena";0,0114303178484108;0;47;0;0
"J0038";"J0039";2;"Jena";0,00693765281173594;0;47;0;0
"J0039";"J0040";2;"Jena";0,00290342298288509;0;47;0;0
"J0040";"J0041";2;"Jena";0,00134474327628362;0;47;0;0
"J0041";"J0036";2;"Jena";0,00397310513447433;0;47;0;0
"J0042";"J0043";1;"Jena";0,0116136919315403;0;47;0;0
"J0043";"J0044";1;"Jena";0,0106356968215159;0;47;0;0
"J0044";"J0045";1;"Jena";0,00965770171149144;0;47;0;0
"J0045";"J0046";1;"Jena";0,00867970660146699;0;47;0;0
"J0046";"J0047";1;"Jena";0,00898533007334963;0;47;0;0
"J0047";"J0028";1;"Jena";0,0344437652811736;0;47;0;0
